3D Asset?,Prop ID,Link,Brand,Prop Name,Size,Color,Modsy Color,Vendor Style #/ SKU,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,Cost
,,,Loloi ,"Rumi Clay/Stone 9'-3"" X 13'",,,Grey,RUMIRUM-02CGSN93D0,"$4,019.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,,,X,X,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,X,,"$1,675.00 "
,,,Loloi ,"Rumi Ivory 12'-0"" x 15'-0""",,,Beige,RUMIRUM-01IV00C0F0,"$6,539.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,,X,X,,X,X,X,X,,,X,X,X,X,X,,X,X,X,,,,X,,,,X,,,,,X,,"$2,725.00 "
,,,Loloi ,"Rumi Ivory 2'-6"" X 7'-6""",,,Beige,RUMIRUM-01IV002676,$499.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,,X,,X,X,,X,X,X,X,,,X,X,X,,X,,X,X,X,,,,X,,,,X,,,,,X,,$205.00 
,,,Loloi ,"Rumi Ivory 2'-6"" x 9'-9""",,,Beige,RUMIRUM-01IV002699,$639.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,,X,X,,X,X,X,X,,,X,X,X,,X,,X,X,X,,,,X,,,,X,,,,,X,,$265.00 
,,,Loloi ,"Rumi Ivory 3'-6"" x 5'-6""",,,Beige,RUMIRUM-01IV003656,$499.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,X,,X,,X,X,,X,X,X,X,,,X,X,X,,X,,X,X,X,,,,X,,,,X,,,,,X,,$209.00 
,,,Loloi ,"Rumi Ivory 5'-0"" x 7'-6""",,,Beige,RUMIRUM-01IV005076,$899.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,,X,X,,X,X,X,X,,,X,X,X,,X,,X,X,X,,,,X,,,,X,,,,,X,,$375.00 
,,,Loloi ,"Rumi Ivory 7'-9"" x 9'-9""",,,Beige,RUMIRUM-01IV007999,"$2,199.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,,X,X,,X,X,X,X,,,X,X,X,,X,,X,X,X,,,,X,,,,X,,,,,X,,$915.00 
,,,Loloi ,"Rumi Ivory 9'-3"" X 13'",,,Beige,RUMIRUM-01IV0093D0,"$4,019.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,,X,X,,X,X,X,X,,,X,X,X,,X,,X,X,X,,,,X,,,,X,,,,,X,,"$1,675.00 "
,,,Loloi ,"Rumi Mist 12'-0"" x 15'-0""",,,Blue,RUMIRUM-03MI00C0F0,"$6,539.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,X,,,X,,,,X,,,,,,,,X,,,,,,,,X,,,,,,,,,,,"$2,725.00 "
,,,Loloi ,"Rumi Mist 2'-6"" X 7'-6""",,,Blue,RUMIRUM-03MI002676,$499.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,X,,,X,,,,X,,,,,,,,X,,,,,,,,X,,,,,,,,,,,$205.00 
