3D Asset?,Prop ID,Link,Brand,Prop Name,Size,Color,Modsy Color,EXTERNAL_ID,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,WHOLESALE_COST
,,,Aidyn Decor,"Rectangular Black Metal Grid Mirror, Black","38"" x 34"" x .75""",,Black,7BLMTLGRIDBL,329,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,X,X,X,X,X,X,,X,X,X,X,,,X,,X,X,,,X,,X,,X,X,,X,X,X,X,X,X,X,,$165.00
,,,Aidyn Decor,"Lucille Mirror, Grey","60"" x 24"" x 1""",,Grey,BL122316-M1,329,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,,X,,,X,,,,,,,X,,,,,,,,,,,X,,,X,X,,,X,,$160.00
,,,Aidyn Decor,"Virginia Mirror, White","53.5"" x 26"" x 1""",,White,BL122316-M2,299,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,X,X,X,X,X,X,,,X,X,X,,X,,X,X,,X,,X,,,X,X,,X,X,X,X,X,X,$145.00
,,,Aidyn Decor,"Round Metal Grid Mirror, Black","36"" x .75""",,Black,BL2116-M1,349,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,X,X,X,X,X,X,,X,X,X,X,,,X,,X,X,,,X,,X,,X,X,,X,X,X,X,X,X,X,,$175.00
,,,Aidyn Decor,"Reclaimed Mirror, Grey","36"" x 2""",,Grey,BL616-M1,289,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,,X,X,X,,X,,,,,,X,X,X,X,,,X,,X,X,X,X,X,,X,X,X,,,X,X,$140.00
,,,Aidyn Decor,"Chelsea Mirror, Black","28"" x 18"" x .75""",,Black,BL72415-M2,299,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,X,X,,X,,X,,,,,X,,,X,,X,,,,X,,,,X,X,,,X,,,,,,,$150.00
,,,Aidyn Decor,"Rectangular Jute Mirror, Brown","36"" x 26"" x 1.5""",,Brown,BL72415-M22,259,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,,X,,,X,,,,,X,,X,,,,,,,,X,,,X,,X,X,X,,,X,,$130.00
,,,Aidyn Decor,"Tribecca Mirror, Black","47.5"" x 27.5"" x .75""",,Black,BL72415-M4,389,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,X,X,X,X,X,X,,X,X,X,X,,,X,,X,X,,,X,,X,,X,X,,X,X,X,X,X,X,X,,$190.00
,,,Aidyn Decor,"Scroll Mirror, Grey","21"" x 46.5"" x 1""",,Grey,M12,159,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,,,,,X,X,,,X,,,X,,,,,,,X,,,X,X,,,,X,$76.00
,,,Aidyn Decor,"Driftwood Rectangle Mirror, Brown","48"" x 32"" x 2""",,Brown,M132,319,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,X,,X,,,X,,,,,,,X,X,,,,,,,,,,X,,,X,X,,,X,,$155.00
,,,Aidyn Decor,"Driftwood Round Mirror, Brown","44""",,Brown,M134,389,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,X,,,X,,X,,,X,,,,,,,X,X,,,,,,,,,,X,,,X,X,,,X,,$190.00
,,,Aidyn Decor,"Clover Mirror in Grey Washed Wood, Grey","20"" x 2""",,Grey,M23,199,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,,X,,,,X,X,X,X,X,,,,X,X,,X,X,,,X,,,,X,,,X,,,X,X,,,X,X,$95.00
,,,Aidyn Decor,"Coltrane Mirror in Antique Bronze Wood, Brown","30.5"" x 3""",,Brown,M27,249,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,X,,,X,,,,,X,X,X,,X,,,X,,,,X,,,,,X,X,,,X,,X,$120.00
,,,Aidyn Decor,"Round Scalloped Mirror, Silver","32"" x 2""",,Silver,M3,349,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,,,,X,,,,,X,X,,,X,,X,X,,,,,,,,,X,,,,,,X,$170.00
,,,Aidyn Decor,"Window Mirror, Grey","46.5"" x 21"" x 1""",,Grey,M8,229,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,X,,,,X,,,,,X,X,,,X,,X,X,X,,,X,,,,,X,X,,,,,X,$110.00
,,,Aidyn Decor,"Elise Mirror, Brass","31"" x 27"" x 1""",,Brown,WLMIR14,299,,X,X,X,X,X,X,X,X,X,X,X,X,Mid,,,,,,,,,,,X,,,X,,X,X,,,,,,X,,,,,,,,,,X,,,,,X,$145.00
