3D Asset?,Prop ID,Link,Brand,Prop Name,Size,Color,Modsy Color,EXTERNAL_ID,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,Cost 
,,,Noir,"Quadrant 2 Door Sideboard, Dark Walnut","33.5"" x 52"" x 23""",,Brown,GCON231DW-2,"$2,324.00 ",,,X,,,,,,,,,X,X,High,,,X,,X,,X,,,,,X,,,,,,X,X,X,X,X,,,,,,,,,X,,,,,X,,,"$1,017.00"
,,,Noir,"Quadrant 3 Door Sideboard, Dark Walnut","33.5"" x 76"" x 23""",,Brown,GCON231DW-3,"$3,374.00 ",,,X,,,,,,,,,X,X,High,,,X,,X,,X,,,,,X,,,,,,X,X,X,X,X,,,,,,,,,X,,,,,X,,,"$1,476.00"
,,,Noir,"Quadrant 2 Door Sideboard, Washed Walnut","33.5"" x 52"" x 23""",,Brown,GCON231WAW-2,"$2,150.00 ",,,X,,,,,,,,,X,X,High,,,X,,X,,X,,,,,X,,,,,,X,X,X,X,X,,,,,,,,,X,,,,,X,,,$941.00
,,,Noir,"Quadrant 3 Door Sideboard, Washed Walnut","33.5"" x 76"" x 23""",,Brown,GCON231WAW-3,"$3,164.00 ",,,X,,,,,,,,,X,X,High,,,X,,X,,X,,,,,X,,,,,,X,X,X,X,X,,,,,,,,,X,,,,,X,,,"$1,384.00"
,,,Noir,"Brook 4 Door Sideboard, Pale","32"" x 76.5"" x 22.5""",,Brown,GCON239-2P,"$2,213.00 ",,,X,,,,,,,,,X,X,High,,,X,X,,,X,,,,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,,$968.00
,,,Noir,"Morten 9 Drawer Dresser, Pale","33"" x 72"" x 22""",,Brown,GCON241P,2373,,,,,,X,X,X,,,,X,,High,,,,,,,,,,,,X,,,X,,,,,,,,,X,,X,,,,,,,,,,,X,,1038
,,,Noir,"Morten 9 Drawer Dresser, White Wash","33"" x 72"" x 22""",,White,GCON241WH,2373,,,,,,X,X,X,,,,X,,High,,,,,,,,,,,,X,,,X,,,,,,,,,X,,X,,,,,,,,,,,X,,1038
,,,Noir,"Novie Console, Large, Dark Walnut, Walnut and Metal","28.5"" x 84"" x 15.5""",,Brown,GCON242MT-L,"$2,077.00 ",,X,,X,,,,,,,,X,X,High,,,,X,,X,,,X,,,X,,,X,,,,X,,X,,,X,,X,,X,X,X,,X,X,X,,,X,,$909.00
,,,Noir,"Zurich Console, Dark Walnut","32"" x 60"" x 19""",,Brown,GCON262DW,"$1,631.00 ",,X,,X,,,,,,,,X,X,High,,,X,,X,X,X,,,,,,,X,,X,,,X,,,,,,,,,X,,,,,,,,,,,$714.00
,,,Noir,"Smith 2 Door Sideboard, Hand Rubbed Black","30.5"" x 40"" x 22""",,Brown,GCON273HB-2,"$1,434.00 ",,,X,,,,,,,,,X,X,High,,,,,,X,,,,X,,X,,,X,,,X,X,,,,,X,,X,,,X,,,,,,,X,,,$627.00
,,,Noir,"Narcisse Sideboard, Pale","32"" x 67.5"" x 20""",,Brown,GCON278P,"$2,447.00 ",,,X,,,,,,,,,X,X,High,,,X,,,,X,,,X,X,,,,,X,,X,X,X,X,X,,,X,,X,,,,,X,X,,,X,X,,"$1,071.00"
,,,Noir,"Ra Sideboard, Hand Rubbed Black with Teak","30.5"" x 76"" x 20""",,Black,GCON280HBT,"$2,719.00 ",,,X,,,,,,,,,X,X,High,,,X,,X,,X,,,,,X,,,,X,,,X,X,,X,,,,X,,,,,X,X,,,,,,X,"$1,190.00"
,,,Noir,"Lanon Sideboard with Metal Base, Dark Walnut","32"" x 80"" x 21""",,Brown,GCON289DW,"$3,263.00",,,X,,,,,,,,,X,X,High,,,,,X,,X,,,X,,X,,,,X,X,,,,,X,,,,X,,,X,,,X,,,,X,X,X,"$1,428.00"
,,,Noir,"Draco Sideboard with Metal Stand, Washed Walnut","28"" x 36"" x 21""",,Brown,GCON301WAW,"$1,742.00",,,X,,,,,,,,,X,X,High,,,X,,,X,X,,,,,X,,,,,,,X,,X,X,,,,X,,,,,X,X,X,,,,,X,$762.00
,,,Noir,"Portuguese Desk, Hand Rubbed Black","31"" x 72"" x 32""",,Brown,GDES115HB,2596,,X,,X,X,X,X,X,,,,X,X,High,,,X,,,,X,X,,X,,,X,,,,,,,X,,X,,,,,,,,,,X,,,,,,,1136
,,,Noir,"Portuguese Desk, Solid White","31"" x 72"" x 32""",,White,GDES115SW,2596,,X,,X,X,X,X,X,,,,X,X,High,,X,X,X,,X,X,X,,X,,,X,,,,,,,X,,X,,,,,,,,,,X,,,,,,,1136
,,,Noir,"Ascona Small Chest, Hand Rubbed Black","30"" x 42"" x 20""",,Brown,GDRE137HB,1458,,,,,,X,X,X,,,,X,,Mid,,,,X,,,,,,,,,,,X,,,,X,,X,,,,,,X,,,X,,,,X,X,X,,,638
,,,Noir,"Watson Dresser, Weathered","32.5"" x 40"" x 22.5""",,Brown,GDRE159WEA,1765,,,,,,X,X,X,,,,X,,High,,,,X,,,,,X,,,,,,,,,X,X,X,,X,,,X,,X,X,,,,,,X,X,X,X,,772
,,,Noir,Gia Chest,"30"" x 42.5"" x 20""",,Beige,GDRE160,1458,,,,,,X,X,X,,,,X,,Mid,,,,X,,,,,X,,,,,,,X,,X,X,,,,,,X,,X,,,X,X,,X,X,X,X,,X,638
,,,Noir,"London Sideboard, Dark Walnut","32"" x 42"" x 20""",,Brown,GDRE178DW,"$1,854.00 ",,,X,,,,,,,,,X,X,High,,,,,,,,,,,X,,,,,X,,,X,X,,,,,X,X,X,X,,,,,,,,X,,,$811.00
,,,Noir,"Giza Dresser, Pale","32.5"" x 45.5"" x 23.5""",,Brown,GDRE179P,1750,,,,,,X,X,X,,,,X,,High,,,,,X,X,,X,,,,,,,X,,,,,X,X,,,,,,,,,,,,,,,,,,766
,,,Noir,"Giza Dresser, White Weathered","32.5"" x 45.5"" x 23.5""",,White,GDRE179WW,1750,,,,,,X,X,X,,,,X,,High,,,,,X,X,,X,,,,,,,X,,,,,X,X,,,,,,,,,,,,,,,X,,X,766
,,,Noir,"Diamond Chest, Dark Walnut","34"" x 36"" x 23""",,Brown,GDRE180DW,2077,,,,,,X,X,X,,,,X,,High,,,X,,X,X,,X,,X,,,,,,,X,,,X,,X,,,,X,,X,,,X,,,,,,,,909
,,,Noir,"Atlas Dresser, Hand Rubbed Black","32.5"" x 65.5"" x 17""",,Brown,GDRE215HB,2250,,,,,,X,X,X,,,,X,,High,,,X,X,X,X,,X,,X,,X,X,XX,,,,,,X,,,,,,,,X,,,,,,,,,,,984
,,,Noir,"Maharadshcha Hutch, Pale","99.5"" x 51"" x 21.5""",,,GHUT118P,4697,,,X,,,,,,,,,X,X,,,,,,X,X,X,X,,,,,X,X,,X,,,,X,X,X,X,X,,,,,,,,X,X,,,,,,2055
,,,Noir,"Jones Hutch, Old Wood","90.5"" x 43"" x 24.5""",,,GHUT125OW,3530,,,X,,,,,,,,,X,X,,,,,,X,X,X,X,,X,,X,,,X,X,,,,,,,X,,,,,,,,,,,,,,,,1545
,,,Noir,"Saddle Counter Stool, Hand Rubbed Black","26"" x 18"" x 20""",,Brown,GSTOOL111HBS,$418.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,,,,X,,,,,X,X,X,,,,,X,,,X,,X,X,,,X,X,X,,,$183.00
,,,Noir,Baxter Bar Stool,"30"" x 17"" x 16.5""",,Brown,GSTOOL130MTL,$794.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,X,X,X,,,,,X,,,,,,,X,,,X,X,X,,,,,,,X,,X,,,,X,X,$347.00
,,,Noir,Baxter Counter Stool,"24"" x 17"" x 17""",,Brown,GSTOOL130MTS,$794.00,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,X,X,X,,,,,X,,,,,,,X,,,X,X,X,,,,,,,X,,X,,,,X,X,$347.00
,,,Noir,"Abacus Bar Stool, Hand Rubbed Black","30"" x 16"" x 16""",,Black,GSTOOL201HBL-C,$420.00,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,,,,,,,,,X,X,X,,,,,,,X,X,,,,,,,X,X,,,$184.00
,,,Noir,"Abacus Counter Stool, Hand Rubbed Black","24"" x 16"" x 16""",,Black,GSTOOL201HBS-C,$408.00,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,,,,,,,,,X,X,X,,,,,,,X,X,,,,,,,X,X,,,$179.00
,,,Noir,"Abacus Bar Stool, White Wash","30"" x 16"" x 16""",,White,GSTOOL201WHL-C,$420.00,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,,,,,,,,,X,X,X,,,,,,,X,X,,,,,,,X,X,,,$184.00
,,,Noir,"Abacus Counter Stool, White Wash","24"" x 16"" x 16""",,White,GSTOOL201WHS-C,$408.00,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,X,,,,X,X,,,,,,,,,X,X,X,,,,,,,X,X,,,,,,,X,X,,,$179.00
,,,Noir,"Lois Coffee Table, Metal and Quartz","18.5"" x 56"" x 30""",,White,GTAB1002MT,"$1,063.00 ",,X,,,,,,,,,,X,X,High,,,X,X,X,X,X,,X,X,,X,,X,X,,,X,X,X,,,,,,X,,X,X,,X,,,,,X,X,,$465.00
,,,Noir,"Sutton Coffee Table, Hand Rubbed Black","18"" x 60"" x 34""",,Brown,GTAB121HB,"$1,186.00 ",,X,,,,,,,,,,X,X,High,,,,X,,,,X,X,,X,,X,,,,X,X,X,X,,,,,,,,,,X,,,X,X,X,X,X,X,$519.00
,,,Noir,"Sutton Coffee Table, White Wash","18"" x 60"" x 34""",,White,GTAB121WH,"$1,186.00 ",,X,,,,,,,,,,X,X,High,,,,X,,,,X,X,,X,,X,,,,X,X,X,X,,,,,,,,,,X,,,X,X,X,X,X,X,$519.00
,,,Noir,Eclipse Oval Coffee Table,"19.5"" x 49"" x 29""",,Black,GTAB132MT,"$1,115.00 ",,X,,,,,,,,,,X,X,High,,,,,,,,,,X,,,X,,,,,,,,,X,,,X,,,,,,X,,,X,,,X,,$488.00
,,,Noir,"Graff Coffee Table, Hand Rubbed Black","18"" x 64"" x 37.5""",,Brown,GTAB138HB,"$1,335.00 ",,X,,,,,,,,,,X,X,High,,,,X,,,,X,X,,X,,,,,,,X,,,,,,,,,,,,X,,,X,,X,,,,$584.00
,,,Noir,"Graff Coffee Table, Weathered","18"" x 64"" x 37.5""",,Beige,GTAB138WEA,"$1,335.00 ",,X,,,,,,,,,,X,X,High,,,,X,,,,X,X,,X,,,,,,,X,,,,,,,,,,,,X,,,X,,X,,,,$584.00
,,,Noir,Vert Coffee Table,"16"" x 47.5"" x 31.5",,Brown,GTAB174,"$1,669.00 ",,X,,,,,,,,,,X,X,High,,,,X,,,X,,X,,,X,,,,,,,X,,,X,,,,,,,,,X,,,X,,,X,,$730.00
,,,Noir,"Scheffield Round End Table, Black","28"" x 30"" x 30""",,Black,GTAB223,$754.00 ,,X,,X,,,,,,,,X,X,High,,,,X,,,X,,,,,,,,,,,X,X,,,,,,,,,,,X,,,,,X,,,,$330.00
,,,Noir,"Scheffield Round End Table, Distressed Brown","28"" x 30"" x 30""",,Brown,GTAB223D,$754.00 ,,X,,X,,,,,,,,X,X,High,,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,X,,,,$330.00
,,,Noir,"2 Shelf Side Table, Hand Rubbed Black","26"" x 28"" x 18""",,Brown,GTAB235HB,$442.00 ,,X,,X,,,,,,,,X,X,High,,,,,,X,X,,X,X,,X,X,,,,,,X,,,,,X,,X,,X,,,X,,,,,,,,$194.00
,,,Noir,"2 Shelf Side Table, White Wash","26"" x 28"" x 18""",,White,GTAB235WH,$442.00 ,,X,,X,,,,,,,,X,X,High,,,,,,X,X,,X,X,,X,X,,,,,,X,,,,,X,,X,,X,,,X,,,,,,,,$194.00
