3D Asset?,Prop ID,Link,Brand,Prop Name,Size,Color,Modsy Color,EXTERNAL_ID,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,Cost
,,,Bhawan Textiles,"Elka Pink/Multi 2'-6"" X 7'-6""",,,Pink,ELKAELK-04PIML2676,$209.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,,,,X,,X,,,X,X,,,X,X,,X,X,X,X,X,,,X,,,,,X,,X,,,X,X,X,$69.00 
,,,Bhawan Textiles,"Elka Pink/Multi 3'-6"" x 5'-6""",,,Pink,ELKAELK-04PIML3656,$229.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,,,,X,,X,,,X,X,,,X,X,,X,X,X,X,X,,,X,,,,,X,,X,,,X,X,X,$75.00 
,,,Bhawan Textiles,"Elka Pink/Multi 5'-0"" x 7'-6""",,,Pink,ELKAELK-04PIML5076,$389.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,,,,X,,X,,,X,X,,,X,X,,X,X,X,X,X,,,X,,,,,X,,X,,,X,X,X,$129.00 
,,,Bhawan Textiles,"Elka Pink/Multi 7'-9"" x 9'-9""",,,Pink,ELKAELK-04PIML7999,$779.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,,,X,,X,,,X,X,,,X,X,,X,X,X,X,X,,,X,,,,,X,,X,,,X,X,X,$259.00 
,,,Bhawan Textiles,"Elka Pink/Multi 9'-3"" X 13'",,,Pink,ELKAELK-04PIML93D0,"$1,419.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,,,X,,X,,,X,X,,,X,X,,X,X,X,X,X,,,X,,,,,X,,X,,,X,X,X,$470.00 
,,,Bhawan Textiles,"Elka Sky/Multi 2'-6"" X 7'-6""",,,Blue,ELKAELK-01SCML2676,$209.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,,,,X,,X,,,X,X,,,X,X,,X,X,X,X,X,,,X,,,,,X,,X,,,X,X,X,$69.00 
,,,Bhawan Textiles,"Elka Sky/Multi 3'-6"" x 5'-6""",,,Blue,ELKAELK-01SCML3656,$229.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,,,,X,,X,,,X,X,,,X,X,,X,X,X,X,X,,,X,,,,,X,,X,,,X,X,X,$75.00 
,,,Bhawan Textiles,"Elka Sky/Multi 5'-0"" x 7'-6""",,,Blue,ELKAELK-01SCML5076,$389.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,Opening,,,X,,,,X,,X,,,X,X,,,X,X,,X,X,X,X,X,,,X,,,,,X,,X,,,X,X,X,$129.00 
,,,Bhawan Textiles,"Elka Sky/Multi 7'-9"" x 9'-9""",,,Blue,ELKAELK-01SCML7999,$779.00 ,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,,,X,,X,,,X,X,,,X,X,,X,X,X,X,X,,,X,,,,,X,,X,,,X,X,X,$259.00 
,,,Bhawan Textiles,"Elka Sky/Multi 9'-3"" X 13'",,,Blue,ELKAELK-01SCML93D0,"$1,419.00 ",,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,,,X,,X,,,X,X,,,X,X,,X,X,X,X,X,,,X,,,,,X,,X,,,X,X,X,$470.00 
