Product Name,External_ID,Product ID
"Oliver Reversible Sectional Pebble Weave, Dove",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3335-21.Leg001-1,
"Oliver Reversible Sectional,  Heavy Cloth, Panther",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3385-4.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Charcoal",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3385-96.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Coffee",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3385-69.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Ivory",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3385-1.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Midnight Blue",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3385-19.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Natural",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3385-99.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Ore",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3385-216A.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Slate",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3385-93.Leg001-1,
"Oliver Reversible Sectional, Mod Velvet, Blush",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.AK-618-175.Leg001-1,
"Oliver Reversible Sectional, Mod Velvet, Quartz",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.AK-618-12.Leg001-1,
"Oliver Reversible Sectional, Mod Velvet, Sapphire",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.AK-618-25.Leg001-1,
"Oliver Reversible Sectional, Pebble Weave, Basin",,
"Oliver Reversible Sectional, Pebble Weave, Cocoa",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3335-307.Leg001-1,
"Oliver Reversible Sectional, Pebble Weave, Linen",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3335-1.Leg001-1,
"Oliver Reversible Sectional, Pebble Weave, Storm",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3335-204.Leg001-1,
"Oliver Reversible Sectional, Pebble Weave, Zinc",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.LEFTCHAISE.NT-3335-22.Leg001-1,
"Oliver Reversible Sectional Mod Velvet, Elephant",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.AK-618-18.Leg001-1,
"Oliver Reversible Sectional Mod Velvet, Greige",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.AK-618-16.Leg001-1,
"Oliver Reversible Sectional Mod Velvet, Narwhal",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.AK-618-40.Leg001-1,
"Oliver Reversible Sectional Pebble Weave, Dove",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3335-21.Leg001-1,
"Oliver Reversible Sectional,  Heavy Cloth, Panther",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3385-4.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Charcoal",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3385-96.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Coffee",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3385-69.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Ivory",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3385-1.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Midnight Blue",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3385-19.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Natural",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3385-99.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Ore",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3385-216A.Leg001-1,
"Oliver Reversible Sectional, Heavy Cloth, Slate",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3385-93.Leg001-1,
"Oliver Reversible Sectional, Mod Velvet, Blush",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.AK-618-175.Leg001-1,
"Oliver Reversible Sectional, Mod Velvet, Quartz",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.AK-618-12.Leg001-1,
"Oliver Reversible Sectional, Mod Velvet, Sapphire",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.AK-618-25.Leg001-1,
"Oliver Reversible Sectional, Pebble Weave, Cocoa",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3335-307.Leg001-1,
"Oliver Reversible Sectional, Pebble Weave, Linen",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3335-1.Leg001-1,
"Oliver Reversible Sectional, Pebble Weave, Storm",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3335-204.Leg001-1,
"Oliver Reversible Sectional, Pebble Weave, Zinc",OLIV.FABRIC.SECT.RVSBLE.LENGTH-102.RIGHTCHAISE.NT-3335-22.Leg001-1,
"Oliver Sofa- 90"", Mod Velvet, Blush",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.AK-618-175.Leg001-1,
"Oliver Sofa- 90"", Mod Velvet, Elephant",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.AK-618-18.Leg001-1,
"Oliver Sofa- 90"", Mod Velvet, Greige",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.AK-618-16.Leg001-1,
"Oliver Sofa- 90"", Mod Velvet, Narwhal",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.AK-618-40.Leg001-1,
"Oliver Sofa- 90"", Mod Velvet, Quartz",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.AK-618-12.Leg001-1,
"Oliver Sofa- 90"", Mod Velvet, Sapphire",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.AK-618-25.Leg001-1,
"Oliver Sofa- 90"", Pebble Weave, Dove",OLIV.FABRIC.SOFA.STNDRD.LENGTH-90.NT-3335-21.Leg001-1,
