Current Category,New Category,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room
Serveware,Table Top,,X,,,,,,,,,X,X
Shelf,Bookcase and Shelving,X,X,X,X,X,X,X,X,X,X,X,X
Shelving,Bookcase and Shelving,X,X,X,X,X,X,X,X,X,X,X,X
Side Chair,"Dining Side Chair(Need to pull what is in this and divide out)",,X,,,,,,,,,X,X
Side Chair; Chair; Upholstery Fabric,"Dining Side Chair(Need to pull what is in this and divide out)",,X,,,,,,,,,X,X
Side Chair; Dining Chair; Chair; Upholstery Fabric,"Dining Side Chair(Need to pull what is in this and divide out)",,X,,,,,,,,,X,X
Side Table,Side Table,X,,X,,,,,,,,X,X
Side Table; Accent Table,Accent Table,X,,X,X,X,X,X,X,X,,X,X
Sideboard,Buffet & Credenza,,X,,,,,,,,,X,X
Sleepers,Sofa; Sleepers,X,,X,X,,,,,,,X,X
Sofa,Sofa,X,,X,X,,,,,,,X,X
Sofa; Sectional,Sectionals,X,,X,,,,,,,,X,X
Sofa; Sectional; Chaise,Sectionals,X,,X,,,,,,,,X,X
Sofa; Upholstery Fabric,Sofa,X,,X,X,,,,,,,X,X
Stool,Benches & Stools,X,X,X,X,X,X,X,X,X,X,X,X
Storage,Closet Organization,,,,,X,X,X,X,X,,X,
Storage; Side Table,Side Table,X,,X,,,,,,,,X,X
Swivels/Gliders,"Rockers, Sliders & Recliners",X,,X,X,,,,X,X,,X,X
Table,Dining Table,,X,,,,,,,,,X,X
Table Lamp,Table Lamp,X,X,X,X,X,X,X,X,X,X,X,X
Table; Kids Furniture,Kids Furniture,X,,X,,,,,X,X,,,X
Throw,Throws,X,,X,X,X,X,X,X,X,,X,X
Toy,Kids Decorative,X,,X,,,,,X,X,,,X
Tray,"Cannisters, Trays & Boxes",X,X,X,X,X,X,X,X,X,X,X,X
TV,TV,X,,X,X,X,X,X,X,X,,X,X
Type--mirror,Mirror,X,X,X,X,X,X,X,X,X,X,X,X
Vase,Vases and Vase Filler,X,X,X,X,X,X,X,X,X,X,X,X
Wall Art,"Prints and Photography(Need to pull what is in this and divide out)",X,X,X,X,X,X,X,X,X,X,X,X
Wall Art; Kids Furniture,Kids Art,,,,,,,,X,X,,,
Wall Sculpture,Dimensional Art,X,X,X,X,X,X,X,,,X,X,X
Wall Shelf,Bookcase and Shelving,X,X,X,X,X,X,X,X,X,X,X,X
Wardrobe,Closet Organization,,,,,X,X,X,X,X,,X,
Wine Rack,Bookcase and Shelving,X,X,X,X,X,X,X,X,X,X,X,X
Woven Silk Pillow Cover - Iron,Decorative Pillows,X,,X,X,X,X,X,X,X,X,X,X
